No.,Review,aspek,span,sentimen,ordinal
723,rasa ayamnya enak dan renyah. selalu suka dan menikmati makan di sini,rasa,rasa,positif,0
724,"McD selalu menjadi makanan favorit saya, semua menunya enak & tempatnya nyaman",tempat,tempatnya,positif,0
725,"Restoran ini memiliki reputasi dalam memberikan layanan yang ramah, waktu penyelesaian pesanan yang cepat, dan suasana yang menyenangkan. Harganya sangat kompetitif dan kenyamanan jendela drive-thru membuat pelanggan dapat dengan cepat mendapatkan makanan dan melanjutkan perjalanan.",harga,Harganya,positif,0
726,Pelayanannya bagus dan makanannya tidak membosankan😊😊 …,pelayanan,Pelayanannya,positif,0
727,"Tempat makan yang enak dan nyaman! Saya suka makan siang di sini karena layanan cepat yang mereka berikan. Karena ini adalah makanan cepat saji, harganya juga terjangkau. Tempat yang bagus untuk beristirahat dan beristirahat setelah perjalanan singkat.",tempat,Tempat,positif,1
727,"Tempat makan yang enak dan nyaman! Saya suka makan siang di sini karena layanan cepat yang mereka berikan. Karena ini adalah makanan cepat saji, harganya juga terjangkau. Tempat yang bagus untuk beristirahat dan beristirahat setelah perjalanan singkat.",harga,harganya,positif,0
728,"Tempat yang sangat bagus. Recomended untuk acara keluarga.
Saya suka itu.",tempat,Tempat,positif,0
729,"Saat memasuki McDonald's di Bandung, saya disambut oleh pemandangan lengkungan emas yang familiar dan aroma makanan yang baru dimasak. Restoran ini memiliki interior yang bersih dan modern, dengan pilihan tempat duduk yang luas untuk …",tempat,tempat,positif,0
730,"Salah satu tempat nongkrong terbaik jika Anda ingin makan enak. Yakinlah tentang kualitas makanan karena mereka memastikan makanannya segar.
Suka sekali dengan burger ayam yang dijual. Penyelamat hidup berkali-kali",tempat,tempat,positif,0
731,"Tempat makan yang nyaman baik bersama teman atau keluarga karena tempatnya cukup luas. Harga yang ditawarkan juga terjangkau, dengan beragam menu yang bisa dipilih. Terlebih lagi pelayanan dari stafnya sangat ramah dan gesit.",tempat,Tempat,positif,0
731,"Tempat makan yang nyaman baik bersama teman atau keluarga karena tempatnya cukup luas. Harga yang ditawarkan juga terjangkau, dengan beragam menu yang bisa dipilih. Terlebih lagi pelayanan dari stafnya sangat ramah dan gesit.",tempat,tempatnya,positif,0
731,"Tempat makan yang nyaman baik bersama teman atau keluarga karena tempatnya cukup luas. Harga yang ditawarkan juga terjangkau, dengan beragam menu yang bisa dipilih. Terlebih lagi pelayanan dari stafnya sangat ramah dan gesit.",harga,harga,positif,0
731,"Tempat makan yang nyaman baik bersama teman atau keluarga karena tempatnya cukup luas. Harga yang ditawarkan juga terjangkau, dengan beragam menu yang bisa dipilih. Terlebih lagi pelayanan dari stafnya sangat ramah dan gesit.",pelayanan,pelayanan,positif,0
732,Suka dengan variasi menunya. Staf cepat dan cepat. Antrian pesanan juga cepat dan mudah. Area anak-anak perlu ditinggikan agar lebih aman dan bersih. Rasa luar biasa dan banyak variasi makanan penutup. Cinta cinta cinta,rasa,Rasa,positif,0
733,"McDonald's merupakan restoran cepat saji dengan pelayanan terbaik di dunia. Untuk mencapai visi tersebut, McDonald’s selalu menjamin kualitas produknya, memberikan pelayanan yang memuaskan, menawarkan kebersihan dan keamanan pangan serta …",pelayanan,pelayanan,positif,1
734,"Lokasinya mudah dijangkau dan memiliki tempat parkir yang luas sehingga nyaman bagi pelanggan. Interior restoran bersih dan terawat, dengan pilihan tempat duduk yang nyaman. Anggota staf ramah dan menyambut saya dengan senyuman, memberikan …",tempat,tempat,positif,1
735,Makanan ini sangat cocok dinikmati bersama teman atau keluarga. Rasanya yang lezat dan istimewa membuat Anda akan mencoba segala jenis makanan dan minuman yang ditawarkan restoran ini. Pelayanan yang sangat baik didukung dengan suasana yang sangat nyaman.,rasa,Rasanya,positif,0
735,Makanan ini sangat cocok dinikmati bersama teman atau keluarga. Rasanya yang lezat dan istimewa membuat Anda akan mencoba segala jenis makanan dan minuman yang ditawarkan restoran ini. Pelayanan yang sangat baik didukung dengan suasana yang sangat nyaman.,pelayanan,Pelayanan,positif,0
736,"Tempat favorit saya bersama keluarga, tempatnya sangat nyaman, bersih dan strategis.
pelayanannya sangat baik, ramah dan cepat. …",tempat,Tempat,positif,0
736,"Tempat favorit saya bersama keluarga, tempatnya sangat nyaman, bersih dan strategis.
pelayanannya sangat baik, ramah dan cepat. …",tempat,tempatnya,positif,0
736,"Tempat favorit saya bersama keluarga, tempatnya sangat nyaman, bersih dan strategis.
pelayanannya sangat baik, ramah dan cepat. …",pelayanan,pelayanannya,positif,0
737,"Saya selalu puas saat makan di McD. Makanannya enak dan terjangkau, terutama burgernya enak. Ayam goreng dan es krimnya juga enak. Pelayanan yang ramah. Suasana restonya juga nyaman meski ramai",pelayanan,Pelayanan,positif,0
738,Pelayanan stafnya ramah dan sangat membantu. Resto ini terletak di lokasi yang Strategis dan mudah diakses. Suasana tempatnya cukup dingin. Anda juga bisa membuat pesta ulang tahun di sini untuk anak Anda,pelayanan,Pelayanan,positif,0
738,Pelayanan stafnya ramah dan sangat membantu. Resto ini terletak di lokasi yang Strategis dan mudah diakses. Suasana tempatnya cukup dingin. Anda juga bisa membuat pesta ulang tahun di sini untuk anak Anda,tempat,tempatnya,positif,0
739,"Saya baru-baru ini mengunjungi ini, dan harus saya katakan, pengalaman saya sungguh luar biasa. Sejak saya masuk, saya disambut oleh pelayanan staf yang ramah dan penuh perhatian yang ingin membantu saya. Restoran itu sendiri bersih, tempat terawat dengan baik, dan memiliki suasana yang ramah.",pelayanan,pelayanan,positif,0
739,"Saya baru-baru ini mengunjungi ini, dan harus saya katakan, pengalaman saya sungguh luar biasa. Sejak saya masuk, saya disambut oleh pelayanan staf yang ramah dan penuh perhatian yang ingin membantu saya. Restoran itu sendiri bersih, tempat terawat dengan baik, dan memiliki suasana yang ramah.",tempat,tempat,positif,0
740,Tempat yang nyaman dan makanan yang enak serta tempat nongkrong yang sangat enak dengan lingkungan yang nyaman,tempat,Tempat,positif,1
741,"Saya tidak pernah kecewa dengan pelayanan dan rasa makanan McDonald's, termasuk cabang ini. Apalagi tempat ini memiliki desain yang unik sehingga membuat saya semakin nyaman untuk menginap dan menyantap makanan. dan mereka sangat ramah kepada semua anak di restoran.",pelayanan,pelayanan,positif,0
741,"Saya tidak pernah kecewa dengan pelayanan dan rasa makanan McDonald's, termasuk cabang ini. Apalagi tempat ini memiliki desain yang unik sehingga membuat saya semakin nyaman untuk menginap dan menyantap makanan. dan mereka sangat ramah kepada semua anak di restoran.",rasa,rasa,positif,0
741,"Saya tidak pernah kecewa dengan pelayanan dan rasa makanan McDonald's, termasuk cabang ini. Apalagi tempat ini memiliki desain yang unik sehingga membuat saya semakin nyaman untuk menginap dan menyantap makanan. dan mereka sangat ramah kepada semua anak di restoran.",tempat,tempat,positif,0
742,Ini adalah tempat yang sangat nyaman untuk makan juga untuk sekedar jalan-jalan bersama teman-teman Anda. Layanannya luar biasa dan karyawannya memperlakukan pelanggan seperti seorang ratu.. Saya menyukainya,tempat,tempat,positif,0
742,Ini adalah tempat yang sangat nyaman untuk makan juga untuk sekedar jalan-jalan bersama teman-teman Anda. Layanannya luar biasa dan karyawannya memperlakukan pelanggan seperti seorang ratu.. Saya menyukainya,pelayanan,Layanannya,positif,0
743,"ini salah satu tempat yang pernah saya kunjungi untuk mengisi perut kosong, tempatnya sangat strategis, mudah dicari, makanan kekinian cocok untuk anak muda maupun yang berkeluarga, harga sesuai dengan kualitas makanannya, dan yang tak …",tempat,tempat,positif,0
743,"ini salah satu tempat yang pernah saya kunjungi untuk mengisi perut kosong, tempatnya sangat strategis, mudah dicari, makanan kekinian cocok untuk anak muda maupun yang berkeluarga, harga sesuai dengan kualitas makanannya, dan yang tak …",tempat,tempatnya,positif,0
743,"ini salah satu tempat yang pernah saya kunjungi untuk mengisi perut kosong, tempatnya sangat strategis, mudah dicari, makanan kekinian cocok untuk anak muda maupun yang berkeluarga, harga sesuai dengan kualitas makanannya, dan yang tak …",harga,harga,positif,0
745,"Tempat ini cocok untuk acara apa pun baik untuk bertemu keluarga atau teman. Tempat ini juga menyediakan taman bermain mini yang ramah anak-anak.
Sangat direkomendasikan untuk makan di tempat yang strategis. 👍🏻 diacungi jempol …",tempat,Tempat,positif,2
745,"Tempat ini cocok untuk acara apa pun baik untuk bertemu keluarga atau teman. Tempat ini juga menyediakan taman bermain mini yang ramah anak-anak.
Sangat direkomendasikan untuk makan di tempat yang strategis. 👍🏻 diacungi jempol …",tempat,tempat,positif,2
746,Area parkirnya luas. Saat masih covid tempat ini menerapkan peraturan ketat dan hanya yang sudah mendapat vaksin yang boleh masuk untuk makan di..,tempat,tempat,netral,0
747,"Masih salah satu restoran favorit saya untuk dikunjungi. Buka 24 jam, tempatnya bersih dan nyaman. Menunya banyak variasinya, dan semuanya enak juga 😋 Sangat direkomendasikan untuk makan di sini kapan saja💕 …",tempat,tempatnya,positif,0
748,Pengalaman luar biasa makan di sini. Tidak hanya makanannya saja yang luar biasa. tempatnya sangat nyaman untuk berkumpul bersama teman dan keluarga. Jangan lupa pesan kentang gorengnya. rasanya sangat enak berbeda dengan kentang goreng di tempat lain,tempat,tempatnya,positif,0
748,Pengalaman luar biasa makan di sini. Tidak hanya makanannya saja yang luar biasa. tempatnya sangat nyaman untuk berkumpul bersama teman dan keluarga. Jangan lupa pesan kentang gorengnya. rasanya sangat enak berbeda dengan kentang goreng di tempat lain,tempat,tempat,netral,0
748,Pengalaman luar biasa makan di sini. Tidak hanya makanannya saja yang luar biasa. tempatnya sangat nyaman untuk berkumpul bersama teman dan keluarga. Jangan lupa pesan kentang gorengnya. rasanya sangat enak berbeda dengan kentang goreng di tempat lain,rasa,rasanya,positif,0
749,"Tempat makannya nyaman, lumayan besar, pegawainya ramah. Tempat parkirnya sungguh luas. Untuk rasa seperti MCd biasa, enak dan cukup enak. Waktu penyajiannya cukup cepat Menyukainya.",tempat,Tempat,positif,0
749,"Tempat makannya nyaman, lumayan besar, pegawainya ramah. Tempat parkirnya sungguh luas. Untuk rasa seperti MCd biasa, enak dan cukup enak. Waktu penyajiannya cukup cepat Menyukainya.",rasa,rasa,positif,0
750,"makanannya enak, dan kami tidak menunggu lama untuk dilayani. Tempatnya juga luas, dan tidak sulit untuk memarkir mobil kami. Secara keseluruhan, ini adalah tempat yang bagus untuk makan siang sebentar",tempat,Tempatnya,positif,0
750,"makanannya enak, dan kami tidak menunggu lama untuk dilayani. Tempatnya juga luas, dan tidak sulit untuk memarkir mobil kami. Secara keseluruhan, ini adalah tempat yang bagus untuk makan siang sebentar",tempat,tempat,positif,0
751,Ini adalah salah satu restoran cepat saji terbaik yang pernah saya coba. Makanannya sangat enak. Tempatnya nyaman untuk semua orang. Menunya lengkap dan ramah anak. Jadi aku bisa membawa seluruh keluargaku ke sana. Poin plus lainnya adalah restoran ini dapat diakses oleh semua orang,tempat,Tempatnya,positif,0
752,"Tempatnya sangat ramah, kita bisa memarkir sepeda atau mobil dengan mudah. disini juga bisa makan makanan enak dengan harga terjangkau dan anak bisa bermain dan bersosialisasi dengan anak lain, tempatnya juga nyaman dan bersih",tempat,Tempatnya,positif,1
752,"Tempatnya sangat ramah, kita bisa memarkir sepeda atau mobil dengan mudah. disini juga bisa makan makanan enak dengan harga terjangkau dan anak bisa bermain dan bersosialisasi dengan anak lain, tempatnya juga nyaman dan bersih",harga,harga,positif,0
753,"Lokasi McDonald's ini benar-benar permata! Dari saat Anda masuk ke dalam, Anda akan terkesan dengan betapa bersihnya tempatnya. Staf sangat bangga dalam menjaga kebersihan restoran, dan itu terlihat. Selain itu, pelayanan stafnya sangat sopan …",tempat,tempatnya,positif,0
753,"Lokasi McDonald's ini benar-benar permata! Dari saat Anda masuk ke dalam, Anda akan terkesan dengan betapa bersihnya tempatnya. Staf sangat bangga dalam menjaga kebersihan restoran, dan itu terlihat. Selain itu, pelayanan stafnya sangat sopan …",pelayanan,pelayanan,positif,0
755,"Ini adalah tempat yang sangat cocok untuk makan di tempat atau dibawa pulang. Tempat yang nyaman untuk sarapan, makan siang, dan makan malam. Fasilitas lengkap, ada mesin self order, toilet bersih dan nyaman, drive thru, tempat parkir luas, …",tempat,tempat,positif,3
756,"Tempatnya sangat nyaman, tersedia 24 jam. cara pemesanan yang lebih praktis. Makanan dan minuman sangat direkomendasikan.
Pegawainya sangat ramah melayani pelanggan",tempat,Tempatnya,positif,0
757,"Lokasi McDonald's Bandung Buah Batu yang mudah dijangkau menjadikannya pilihan yang nyaman baik bagi penduduk lokal maupun wisatawan. Terletak di kawasan yang ramai, hotel ini menawarkan tempat parkir yang luas dan terhubung dengan baik …",tempat,tempat,positif,0
758,salah satu cabang McD paling nyaman. suasana sempurna untuk makan dan nongkrong bersama keluarga & teman. rasa makanan enak dengan harga terjangkau. ingin segera datang lagi,rasa,rasa,positif,0
758,salah satu cabang McD paling nyaman. suasana sempurna untuk makan dan nongkrong bersama keluarga & teman. rasa makanan enak dengan harga terjangkau. ingin segera datang lagi,harga,harga,positif,0
759,"Tempatnya sangat nyaman dan cocok bagi Anda yang mencari tempat untuk bekerja atau rapat sebentar. Sistem pelayanannya sangat terorganisir dengan baik, mungkin inilah pelayanan McDonald's tercepat di Jakarta. Tempat parkirnya juga luas.",tempat,Tempatnya,positif,0
759,"Tempatnya sangat nyaman dan cocok bagi Anda yang mencari tempat untuk bekerja atau rapat sebentar. Sistem pelayanannya sangat terorganisir dengan baik, mungkin inilah pelayanan McDonald's tercepat di Jakarta. Tempat parkirnya juga luas.",tempat,tempat,positif,1
759,"Tempatnya sangat nyaman dan cocok bagi Anda yang mencari tempat untuk bekerja atau rapat sebentar. Sistem pelayanannya sangat terorganisir dengan baik, mungkin inilah pelayanan McDonald's tercepat di Jakarta. Tempat parkirnya juga luas.",pelayanan,pelayanannya,positif,0
759,"Tempatnya sangat nyaman dan cocok bagi Anda yang mencari tempat untuk bekerja atau rapat sebentar. Sistem pelayanannya sangat terorganisir dengan baik, mungkin inilah pelayanan McDonald's tercepat di Jakarta. Tempat parkirnya juga luas.",pelayanan,pelayanan,positif,0
760,"pengalaman saya makan disini pelayanannya bagus, ramah, cepat, dan terpercaya. bagi saya yang makan di restoran cepat saji, pelayanan adalah yang terpenting. untuk rasa dan kualitas makanan McDonald's selalu tidak pernah mengecewakan. ini adalah tempat makan favoritku dan selalu menjadi pilihan pertama.",pelayanan,pelayanannya,positif,0
760,"pengalaman saya makan disini pelayanannya bagus, ramah, cepat, dan terpercaya. bagi saya yang makan di restoran cepat saji, pelayanan adalah yang terpenting. untuk rasa dan kualitas makanan McDonald's selalu tidak pernah mengecewakan. ini adalah tempat makan favoritku dan selalu menjadi pilihan pertama.",pelayanan,pelayanan,positif,0
760,"pengalaman saya makan disini pelayanannya bagus, ramah, cepat, dan terpercaya. bagi saya yang makan di restoran cepat saji, pelayanan adalah yang terpenting. untuk rasa dan kualitas makanan McDonald's selalu tidak pernah mengecewakan. ini adalah tempat makan favoritku dan selalu menjadi pilihan pertama.",rasa,rasa,positif,0
760,"pengalaman saya makan disini pelayanannya bagus, ramah, cepat, dan terpercaya. bagi saya yang makan di restoran cepat saji, pelayanan adalah yang terpenting. untuk rasa dan kualitas makanan McDonald's selalu tidak pernah mengecewakan. ini adalah tempat makan favoritku dan selalu menjadi pilihan pertama.",tempat,tempat,positif,0
761,"Tempat makan yang bersih, nyaman dan ramah anak. Semua staf sangat ramah dan menyambut... tempat yang sangat direkomendasikan …",tempat,Tempat,positif,1
762,"Tempat yang bagus untuk keluarga jika Anda memiliki anak maka ini adalah tempat di mana Anda tidak perlu menghabiskan banyak uang dan memiliki waktu bersama keluarga sekaligus. Pelayanannya pelayanan bintang lima, orangnya baik dan ramah. Tempatnya di dalam kota jadi sangat nyaman.",tempat,Tempat,positif,1
762,"Tempat yang bagus untuk keluarga jika Anda memiliki anak maka ini adalah tempat di mana Anda tidak perlu menghabiskan banyak uang dan memiliki waktu bersama keluarga sekaligus. Pelayanannya pelayanan bintang lima, orangnya baik dan ramah. Tempatnya di dalam kota jadi sangat nyaman.",tempat,tempatnya,positif,0
762,"Tempat yang bagus untuk keluarga jika Anda memiliki anak maka ini adalah tempat di mana Anda tidak perlu menghabiskan banyak uang dan memiliki waktu bersama keluarga sekaligus. Pelayanannya pelayanan bintang lima, orangnya baik dan ramah. Tempatnya di dalam kota jadi sangat nyaman.",pelayanan,Pelayanannya,positif,0
762,"Tempat yang bagus untuk keluarga jika Anda memiliki anak maka ini adalah tempat di mana Anda tidak perlu menghabiskan banyak uang dan memiliki waktu bersama keluarga sekaligus. Pelayanannya pelayanan bintang lima, orangnya baik dan ramah. Tempatnya di dalam kota jadi sangat nyaman.",pelayanan,pelayanan,positif,0
762,"Tempat yang bagus untuk keluarga jika Anda memiliki anak maka ini adalah tempat di mana Anda tidak perlu menghabiskan banyak uang dan memiliki waktu bersama keluarga sekaligus. Pelayanannya pelayanan bintang lima, orangnya baik dan ramah. Tempatnya di dalam kota jadi sangat nyaman.",tempat,Tempatnya,positif,0
763,"Ini memiliki tempat parkir yang luas, dan memiliki interior yang modern, bersih, dan luas.
Untuk makanannya belum lagi hampir sudah diketahui rasanya... Enak sekali.. bagi pecinta fast food",tempat,tempat,positif,0
763,"Ini memiliki tempat parkir yang luas, dan memiliki interior yang modern, bersih, dan luas.
Untuk makanannya belum lagi hampir sudah diketahui rasanya... Enak sekali.. bagi pecinta fast food",rasa,rasanya,positif,0
764,Outlet favorit saya untuk mendapatkan layanan drive-through mereka. Cepat dan nyaman! Outlet ini juga memiliki lingkungan yang bersih dan tempat parkir mobil yang bagus. Suka sekali.,tempat,tempat,positif,0
767,"Restoran ini sangat direkomendasikan karena menunya yang lezat dan ikonik, pelayanan yang cepat dan nyaman, serta lingkungan yang ramah keluarga. Dengan kualitas yang konsisten, harga terjangkau, dan beragam pilihan, ini adalah tujuan utama untuk hidangan memuaskan yang memenuhi berbagai selera dan preferensi.",pelayanan,pelayanan,positif,0
767,"Restoran ini sangat direkomendasikan karena menunya yang lezat dan ikonik, pelayanan yang cepat dan nyaman, serta lingkungan yang ramah keluarga. Dengan kualitas yang konsisten, harga terjangkau, dan beragam pilihan, ini adalah tujuan utama untuk hidangan memuaskan yang memenuhi berbagai selera dan preferensi.",harga,harga,positif,0
769,"Suasananya santai & nyaman. Saya lebih suka tampilan & rasa burger McD, dibandingkan pesaing lainnya. Pelayanannya responsif & akurat. Kerja bagus",rasa,rasa,positif,0
769,"Suasananya santai & nyaman. Saya lebih suka tampilan & rasa burger McD, dibandingkan pesaing lainnya. Pelayanannya responsif & akurat. Kerja bagus",pelayanan,Pelayanannya,positif,0
770,Makanannya terlihat enak sesuai rasanya.. Kerumunan dan lingkungan menenangkan kepalaku setiap kali aku mendapat masalah. Ini seperti tempat yang aman untuk mengakhiri hari berat Anda.,rasa,rasanya,positif,0
770,Makanannya terlihat enak sesuai rasanya.. Kerumunan dan lingkungan menenangkan kepalaku setiap kali aku mendapat masalah. Ini seperti tempat yang aman untuk mengakhiri hari berat Anda.,tempat,tempat,positif,0
771,"Restoran yang direkomendasikan buka 24 jam. Tempat yang sangat bersih dan nyaman untuk bersantap.
Bahan-bahan berkualitas tinggi dan segar. …",tempat,Tempat,positif,0
772,"Stafnya ramah dan efisien, dan makanannya selalu segar dan lezat. Saya terutama menyukai nugget ayam dan kentang goreng. Harganya masuk akal, dan restorannya bersih dan terawat dengan baik.",harga,Harganya,positif,0
774,"Pengalaman bersantap di McDonald's Buah batu sangat memuaskan. Makanannya enak dan pilihan menunya bervariasi. Pelayanan ramah dan lingkungan nyaman. Jika Anda sedang mencari tempat makan cepat saji yang enak dan terjangkau, saya merekomendasikan McDonald's Buah Batu sebagai pilihan yang bagus",pelayanan,Pelayanan,positif,0
774,"Pengalaman bersantap di McDonald's Buah batu sangat memuaskan. Makanannya enak dan pilihan menunya bervariasi. Pelayanan ramah dan lingkungan nyaman. Jika Anda sedang mencari tempat makan cepat saji yang enak dan terjangkau, saya merekomendasikan McDonald's Buah Batu sebagai pilihan yang bagus",tempat,tempat,positif,0
778,"Ada banyak pilihan makanan yang bisa Anda nikmati di McDonald's. Dengan sedikit tambahan garam sebagai perasa, langsung memanjakan saya. Untuk lebih meningkatkan mood, kopi adalah ide bagus. Sempurna! Saya bisa melanjutkan rutinitas saya.",rasa,perasa,positif,0
779,"Pelayanan resto mcdonald sangat baik, pelayannya ramah dan sopan dimana ada mainan anak jadi kita makan sambil berbisnis ketemu teman sambil bawa anak biar aman anak sambil bermain dan berkenalan kita bisa ngobrol panjang lebar
Makanan yang dihidangkan di MCDonald's menurut lidah Indonesia enak enak",pelayanan,Pelayanan,positif,0
779,"Pelayanan resto mcdonald sangat baik, pelayannya ramah dan sopan dimana ada mainan anak jadi kita makan sambil berbisnis ketemu teman sambil bawa anak biar aman anak sambil bermain dan berkenalan kita bisa ngobrol panjang lebar
Makanan yang dihidangkan di MCDonald's menurut lidah Indonesia enak enak",pelayanan,pelayannya,positif,0
780,"Saya sangat suka makanan gule ayam baru mereka. Sesuai dengan selera saya, dan tentu saja tingkat kepedasannya pas. Dengan kentang goreng atau nasi, rasanya sempurna. Antrian disini kadang panjang, tentu saja itu restoran yang sangat …",rasa,rasanya,positif,0
781,"tempatnya sangat strategis, ayamnya sangat renyah dan restorannya bersih. pelayanan stafnya ramah banget, disini ada ulang tahun anak saya, dan mereka menawarkan paket ulang tahun anak dengan banyak diskon dan bundling.",tempat,tempatnya,positif,0
781,"tempatnya sangat strategis, ayamnya sangat renyah dan restorannya bersih. pelayanan stafnya ramah banget, disini ada ulang tahun anak saya, dan mereka menawarkan paket ulang tahun anak dengan banyak diskon dan bundling.",pelayanan,pelayanan,positif,0
782,"Saya menyukainya. Tempat yang sangat bagus, makanannya tanpa diragukan lagi adalah yang terbaik di antara restoran cepat saji lainnya yang menyajikan ayam goreng tentunya. Pasti akan menjadi pilihan pertama setiap kali saya lapar dan mencari ayam goreng ❤",tempat,Tempat,positif,0
783,"Tempat yang bagus untuk menghabiskan waktu
Apalagi jika Anda terjebak kemacetan menuju Buah batu …",tempat,Tempat,positif,0
784,"Saya pernah ke restoran McDinald ini sebelumnya. Letaknya di Bandung, tidak jauh dari jalan raya. Tempatnya sangat nyaman dengan tempat parkir yang cukup luas dan tempat makan yang nyaman. Lokasinya yang mudah dijangkau membuat banyak orang …",tempat,Tempatnya,positif,0
784,"Saya pernah ke restoran McDinald ini sebelumnya. Letaknya di Bandung, tidak jauh dari jalan raya. Tempatnya sangat nyaman dengan tempat parkir yang cukup luas dan tempat makan yang nyaman. Lokasinya yang mudah dijangkau membuat banyak orang …",tempat,tempat,positif,1
785,"Tempat yang nyaman untuk pertemuan bisnis informal. tempat yang sangat strategis, dari segi kehandalan, daya tanggap, jaminan, dan empati pelayanan masuk dalam kategori sangat puas, sedangkan dari segi bukti fisik masuk dalam kategori sangat puas dengan kebebasan 24 jam.",tempat,Tempat,positif,1
785,"Tempat yang nyaman untuk pertemuan bisnis informal. tempat yang sangat strategis, dari segi kehandalan, daya tanggap, jaminan, dan empati pelayanan masuk dalam kategori sangat puas, sedangkan dari segi bukti fisik masuk dalam kategori sangat puas dengan kebebasan 24 jam.",pelayanan,pelayanan,positif,0
786,"Mc Donalds adalah restoran yang direkomendasikan untuk dikunjungi. Tempatnya nyaman, pelayanannya bagus, pelayannya ramah. Makanan di sini juga sangat enak. Balapannya luar biasa, berbeda dari yang lain. Saya paling suka burgernya. dagingnya sangat lembut dan lezat.",tempat,Tempatnya,positif,0
786,"Mc Donalds adalah restoran yang direkomendasikan untuk dikunjungi. Tempatnya nyaman, pelayanannya bagus, pelayannya ramah. Makanan di sini juga sangat enak. Balapannya luar biasa, berbeda dari yang lain. Saya paling suka burgernya. dagingnya sangat lembut dan lezat.",pelayanan,pelayanannya,positif,0
786,"Mc Donalds adalah restoran yang direkomendasikan untuk dikunjungi. Tempatnya nyaman, pelayanannya bagus, pelayannya ramah. Makanan di sini juga sangat enak. Balapannya luar biasa, berbeda dari yang lain. Saya paling suka burgernya. dagingnya sangat lembut dan lezat.",pelayanan,pelayannya,positif,0
787,Sangat menyukai suasananya. Tempat ini bersih & pelayanannya sangat ramah. Tidak perlu menunggu lama untuk menyiapkan makanan karena semua bahan sudah disiapkan dengan baik.,tempat,Tempat,positif,0
787,Sangat menyukai suasananya. Tempat ini bersih & pelayanannya sangat ramah. Tidak perlu menunggu lama untuk menyiapkan makanan karena semua bahan sudah disiapkan dengan baik.,pelayanan,pelayanannya,positif,0
788,"Tempatnya strategis, namun sangat ramai di malam hari terutama di akhir jam kantor.
Alangkah baiknya jika Anda datang ke restoran pada malam hari hingga tengah malam, Anda akan merasa lebih rileks dan memiliki waktu sendiri.",tempat,Tempatnya,positif,0
789,"Restoran cepat saji dengan pelayanan yang baik, bersih dan tidak terlalu mahal. Ayam Goreng Pedas adalah hidangan favoritku. Burger Double Cheese bisa menjadi makanan bawa pulang terbaik bagi orang-orang yang sedang terburu-buru",pelayanan,pelayanan,positif,0
790,"Tempat yang bagus, ramah keluarga, cocok untuk membawa anak-anak kita ke sini... Punya tempat yang bagus untuk wifi dan bekerja... Makanannya enak, semua berjalan berdasarkan Standar McDonalds... Butuh banyak promo untuk meningkatkan daya tarik tempat ini, karena ada beberapa tempat untuk dikunjungi di sekitar area ini.",tempat,Tempat,positif,3
791,Tempat yang bagus untuk menikmati berbagai makanan kapan saja sepanjang hari! Ini adalah tempat terbaik untuk berkumpul bersama teman dan keluarga. Menu dan pelayanannya sungguh memuaskan ✨,tempat,Tempat,positif,1
791,Tempat yang bagus untuk menikmati berbagai makanan kapan saja sepanjang hari! Ini adalah tempat terbaik untuk berkumpul bersama teman dan keluarga. Menu dan pelayanannya sungguh memuaskan ✨,pelayanan,pelayanannya,positif,0
792,"Restoran ini sudah berada di tempatnya yang bagus, karena tempatnya berada di jalan utama
banyak orang di sekitar buahbatu khususnya di jalan itu …",tempat,tempatnya,positif,1
793,Tempatnya bersih saya suka restoran yang tempatnya bersih. Pelayanannya juga bagus dan cepat. Karyawannya sangat ramah. apapun yang saya minta dan butuhkan mereka sangat responsif. Makanannya juga sangat enak. Lima mulai,tempat,Tempatnya,positif,1
793,Tempatnya bersih saya suka restoran yang tempatnya bersih. Pelayanannya juga bagus dan cepat. Karyawannya sangat ramah. apapun yang saya minta dan butuhkan mereka sangat responsif. Makanannya juga sangat enak. Lima mulai,pelayanan,Pelayanannya,positif,0
795,"McDonald's terkenal dengan sajian makanan cepat saji klasiknya, dan tentu saja disajikan dalam hal rasa dan variasi. Menunya memiliki beragam pilihan, mulai dari burger dan kentang goreng hingga salad dan bungkus. Makanannya secara …",rasa,rasa,positif,0
796,"Tempatnya bagus, nyaman dan cocok untuk nongkrong bersama keluarga. Dan yang paling unik adalah penataan dan arsitektur interiornya mampu membangkitkan inspirasi positif.",tempat,Tempatnya,positif,0
797,"Tempatnya bagus, makanannya nyaman dan enak..",tempat,Tempatnya,positif,0
798,"Tempat terbaik untuk menghabiskan waktu bersama keluarga dan teman"" ..itu tempat yang bagus",tempat,Tempat,positif,1
798,"Tempat terbaik untuk menghabiskan waktu bersama keluarga dan teman"" ..itu tempat yang bagus",tempat,tempat,positif,1
800,"Bagi teman-teman yang mempunyai uang tidak banyak. Jika sobat ingin bersantap dengan harapan akan rasa manis dan kenangan, tersedia lokasi yang menawarkan area bermain luas sehingga anak-anak bisa bersenang-senang sementara orang tua bisa …",rasa,rasa,positif,0
801,"tempat yang bagus untuk berkumpul dengan teman atau keluarga. Mcd juga punya banyak pilihan menu, cocok untuk anak-anak hingga dewasa. selain itu resto ini buka 24 jam, dijamin kamu tidak akan kelaparan disini. perlu mencoba menu baru mereka, ayam rasa korea. saya merekomendasikannya kepada Anda harus mencobanya, karena itu bagus.",tempat,tempat,positif,0
